"My Reference",English,Translation

"// General / Common"
buyer,Buyer,"Người mua"
supplier,Supplier,"Người bán"
serviceprovider,"Service Provider","Nhà cung cấp dịch vụ"
3rdpartysp,"3rd Party Service Provider","Nhà cung cấp dịch vụ bên thứ 3"

"// Form Fields"
firstname,"First Name",Tên
lastname,"Last Name",Họ
emailaddress,"Email Address","Địa chỉ email"
"phone number","Phone Number","Số điện thoại"
country,Country,"Quốc gia"
selectcountry,"Select Country","Chọn quốc gia"
reg-agreement,"I have read and I agree to the terms, privacy and offer details","Tôi đã đọc và đồng ý với các điều khoản, quyền riêng tư và thông tin khuyến mãi khác"
getstarted,"Get Started","Bắt đầu"

"// Form Fields - Errors"
field-req,"This is a required field.","Đây là mục bắt buộc."
email-req,"A valid email is required.","Địa chỉ email hợp lệ là bắt buộc."
email-exists,"Email address already exists.","Địa chỉ email đã tồn tại."
agree-terms,"You need to agree to the Terms and Conditions.","Bạn phải đồng ý với các Điều khoản và Điều kiện."

"// Countries"
australia,Australia,Úc
china,China,"Trung Quốc"
"hong kong","Hong Kong","Hồng Kông"
"new zealand","New Zealand","New Zealand"
"united kingdom","United Kingdom","Hoa Kỳ"
"united states","United States","United States"
vietnam,Vietnam,"Việt Nam"

"// Form Fields - Content"
registration,Registration,"Đăng ký"
30daytrial,"30 Day Free Trial","30 ngày dùng thử"
nocreditcardreq,"No credit card required","Không yêu cầu thẻ tín dụng"
reg-suporser,"Register as a [SUPPLIER-LINK] or a [SERVICEPROVIDER-LINK].","Đăng ký với tư cách là [SUPPLIER-LINK] hoặc [SERVICEPROVIDER-LINK]."

"// Email - Registration"
e-confirm-sub,"[Frethan] Confirm your email address","[Frethan] Xác nhận địa chỉ email của bạn"
e-confirm-body,"Hi [FIRST-NAME],

We'd like to make sure we got your email address right.","Xin chào [FIRST-NAME],

Chúng tôi muốn đảm bảo chúng tôi nhận được đúng địa chỉ email của bạn."
e-confirm-Link,"Yes, it's correct","Đúng, chính xác"

"// Email - Support Link"
e-support,"If you have any questions, contact us at [SUPPORT-LINK]","Nếu bạn có bất kỳ câu hỏi nào, hãy liên hệ với chúng tôi tại [SUPPORT-LINK]"

"// Email Sent - Page indicates Email Sent"
reg-esent-L1,"[FIRST-NAME], check your inbox.","[FIRST-NAME], hãy kiểm tra hộp thư của bạn."
reg-esent-L2,"Confirm your email address, [EMAIL]","Xác nhận địa chỉ email của bạn, [EMAIL]"
reg-emailalready,"Email has already been confirmed.","Email đã được xác nhận."
reg-issues,"Having Issues?","Bạn vẫn gặp sự cố?"
reg-support,"If you need assistance, contact us [SUPPORT-LINK]","Nếu bạn cần trợ giúp, hãy liên hệ với chúng tôi [SUPPORT-LINK]"

"// Activate Account & Set Password"
activate,"Activate Your Account","Kích hoạt tài khoản của bạn"
pass-req,"Your password needs to contain at least 10 characters, including 1 or more numbers.","Mật khẩu của bạn phải chứa ít nhất 10 ký tự, bao gồm 1 chữ số trở lên."
pass-tip,"Password Tip:","Mẹo đặt mật khẩu:"
pass-tip-txt,"Create your password using a unique phrase that includes numbers and symbols like %.","Tạo mật khẩu của bạn bằng cụm từ duy nhất chứa các chữ số và các biểu tượng như %."
pass-err-len,"Your password length needs to be between 10 to 50 characters long.","Mật khẩu của bạn phải dài từ 10 đến 50 ký tự."
pass-err-num,"Your password needs to contain a number.","Mật khẩu của bạn phải chứa một chữ số."
password,Password,"Mật khẩu"
set-password,"Set Password","Đặt mật khẩu"
con-password,"Confirm Password","Xác nhật mật khẩu"

//--------------------------------------------------------//

"// Issues Detected"

"// Heading for when page viewed without an issue code"
issue-head,"Having Issues?","Having Issues?"

"// Code Passed: se"
issue-se-head,"Session Expired","Session Expired"
issue-se,"You will need to click on the link if your email again.","You will need to click on the link if your email again."

